Rank,Company Name,Number of Employees
257,L Brands,57350
258,W.W. Grainger,22450
259,Community Health Systems,62500
260,Ball,21500
261,Berry Global Group,47000
262,Kinder Morgan,10524
263,VF,48000
264,Baxter International,50000
265,Textron,33000
266,LKQ,44000
267,Keurig Dr Pepper,27000
268,O'Reilly Automotive,70179
269,Crown Holdings,33264
270,Universal Health Services,78550
271,DaVita,67000
272,Xcel Energy,11367
273,Newmont,14300
274,Vistra,5365
275,IQVIA Holdings,70000
276,eBay,12700
277,Corning,50110
278,Quanta Services,35800
279,HollyFrontier,3891
280,Bed Bath & Beyond,55000
281,Uber Technologies,22800
282,Mutual of Omaha Insurance,5526
283,Conagra Brands,16500
284,PulteGroup,5249
285,EOG Resources,2900
286,Group 1 Automotive,12337
287,Ally Financial,9500
288,Fidelity National Financial,27058
289,Nordstrom,62000
290,Discovery,9800
291,Tractor Supply,32000
292,CSX,19282
293,Marriott International,121000
294,FirstEnergy,12153
295,BorgWarner,49700
295,Jones Financial (Edward Jones),50000
297,Republic Services,35000
298,Henry Schein,19000
299,Expeditors Intl. of Washington,17480
300,Entergy,13400
301,Advance Auto Parts,54000
302,Assurant,13850
303,Pacific Life,4083
304,Lam Research,11300
305,Boston Scientific,38000
306,Altice USA,8900
307,Norfolk Southern,20156
308,Sonic Automotive,8100
309,Advanced Micro Devices,12600
310,United States Steel,23350
311,Markel,18900
312,ODP,37000
313,AES,8162
314,Molson Coors Beverage,17000
315,J.B. Hunt Transport Services,30309
316,KKR,1583
317,Hormel Foods,19100
318,Public Service Enterprise Group,12788
319,Steel Dynamics,9625
320,Dick's Sporting Goods,33450
321,Mohawk Industries,42000
322,Murphy USA,7400
323,Square,5477
324,Quest Diagnostics,44500
325,Newell Brands,31000
326,Liberty Media,7047
327,Huntington Ingalls Industries,42000
328,Cheniere Energy,1519
329,SpartanNash,14400
330,Alcoa,12900
331,AGCO,21426
332,Voya Financial,5970
333,NRG Energy,4104
334,Interpublic Group,50200
335,Campbell Soup,14500
336,Southwest Airlines,56537
337,News Corp.,23500
338,Eversource Energy,9299
339,Alleghany,10407
340,Air Products & Chemicals,19138
341,Auto-Owners Insurance,6329
342,CenterPoint Energy,9541
343,Reliance Steel & Aluminum,13000
344,EMCOR Group,33000
345,Owens & Minor,18800
346,Mosaic,12617
347,Erie Insurance Group,5849
348,Genworth Financial,3000
349,Amphenol,80000
350,Builders FirstSource,26000
351,Oneok,2886
352,United Rentals,18250
353,Brighthouse Financial,1400
354,Regeneron Pharmaceuticals,9123
355,Eastman Chemical,14500
356,CommScope Holding,30000
357,Ryder System,39000
358,Fifth Third Bancorp,19872
359,Constellation Brands,9000
360,Insight Enterprises,11006
361,Global Partners,2958
362,Univar Solutions,9457
363,Yum China Holdings,271000
364,Targa Resources,2372
365,Intercontinental Exchange,8890
366,Andersons,2294
367,Raymond James Financial,14800
368,Thor Industries,22250
369,Thrivent Financial for Lutherans,3386
370,Hershey,16040
371,Casey's General Stores,27218
372,W.R. Berkley,7495
373,Activision Blizzard,9500
374,Western & Southern Financial Group,2729
375,American Tower,5618
376,American Financial Group,7300
377,Darden Restaurants,177895
378,J.M. Smucker,7300
379,Williams,4739
380,Intuit,11950
381,Citizens Financial Group,17584
382,PPL,12318
383,NVR,6100
384,Westinghouse Air Brake Technologies,27000
385,Foot Locker,33522
386,Cincinnati Financial,5266
387,Weyerhaeuser,9372
388,Westlake Chemical,9220
389,Navistar International,12100
390,Magellan Health,9000
391,Booz Allen Hamilton Holding,27200
392,Autoliv,64716
393,S&P Global,23000
394,Global Payments,24000
395,Motorola Solutions,18000
396,KeyCorp,16826
397,Delek US Holdings,3532
398,Masco,18000
399,Graybar Electric,8200
400,WEC Energy Group,7273
401,Old Republic International,9000
402,Frontier Communications,16200
403,Chewy,18500
404,PVH,26500
405,Asbury Automotive Group,7750
406,Seaboard,13100
407,Polaris,15000
408,Dana,38200
409,First American Financial,19597
410,Cintas,40000
411,Toll Brothers,4500
412,Science Applications International,26134
413,Owens Corning,19000
414,Zimmer Biomet Holdings,20000
415,Xerox Holdings,24700
416,Arthur J. Gallagher,32401
417,Avery Dennison,32000
418,Sanmina,33500
419,Jefferies Financial Group,4945
420,Beacon Roofing Supply,7582
421,Securian Financial Group,6537
422,Oshkosh,14400
423,FM Global,5625
424,Booking Holdings,20199
425,Williams-Sonoma,16600
426,Coty,18260
427,Clorox,8800
428,Pioneer Natural Resources,1853
429,Dover,23000
430,CMS Energy,8493
431,Zoetis,11300
432,Hanesbrands,61000
433,Packaging Corp. of America,15200
434,Regions Financial,19406
435,Graphic Packaging Holding,18775
436,UGI,11300
437,Sprouts Farmers Market,33000
438,Avantor,12400
439,Veritiv,6400
440,Rockwell Automation,23500
441,MasTec,18000
442,DCP Midstream,1837
443,Northern Trust,20900
444,M&T Bank,17046
445,Realogy Holdings,9335
446,NCR,36000
447,T. Rowe Price,7678
448,Vertex Pharmaceuticals,3400
449,Big Lots,23900
450,Ralph Lauren,19300
451,Ulta Beauty,26500
452,Taylor Morrison Home,2700
453,Icahn Enterprises,23833
454,Blackstone Group,3165
455,O-I Glass,25000
456,Fortune Brands Home & Security,27505
457,NOV,27631
458,Ovintiv,1916
459,Alexion Pharmaceuticals,3837
460,Huntsman,9000
461,Equinix,10013
462,ABM Industries,114000
463,Ingredion,12000
464,Chipotle Mexican Grill,88000
465,Sinclair Broadcast Group,11600
466,LPL Financial Holdings,4756
467,Crown Castle International,4900
468,KLA,10600
469,Ameren,9183
470,KBR,29000
471,Burlington Stores,35246
472,Olin,8000
473,CACI International,22900
474,Post Holdings,10200
475,Academy Sports and Outdoors,16500
476,Arconic,13400
477,Celanese,7658
478,Yum Brands,38000
479,Fastenal,20365
480,Nasdaq,4830
481,Analog Devices,15900
482,McCormick,13000
483,Carvana,10400
484,Franklin Resources,11800
485,Electronic Arts,9800
486,MDU Resources Group,12994
487,Select Medical Holdings,42350
488,Roper Technologies,18400
489,RPM International,14621
490,Cerner,26400
491,Patterson,7800
492,Commercial Metals,11297
493,Boise Cascade,6040
494,Hasbro,6822
495,A-Mark Precious Metals,218
496,Camping World Holdings,11427
497,NetApp,10800
498,Avis Budget Group,17500
499,R.R. Donnelley & Sons,33000
500,Moody's,11490
