committee_id,committee_name,Political Affiliation
C00000026,,UNK
C00000059,,UNK
C00000125,,R
C00000182,,D
C00000273,,UNK
C00000349,,R
C00000372,,UNK
C00000398,,R
C00000422,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,N
C00000497,,UNK
C00000505,,D
C00000539,,R
C00000547,,UNK
C00000620,,R
C00000646,,R
C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,N
C00000737,,R
C00000760,,UNK
C00000794,,UNK
C00000810,,NNE
C00000828,,D
C00000885,,UNK
C00000901,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),R
C00000935,DCCC,D
C00000943,,NNE
C00000950,,UNK
C00000984,UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC),N
C00000992,,R
C00001016,,NNE
C00001081,,R
C00001099,,UNK
C00001123,,R
C00001164,,R
C00001180,MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY,N
C00001198,AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC'),N
C00001214,,NNE
C00001222,,R
C00001289,,UNK
C00001297,,R
C00001305,,R
C00001313,,R
C00001347,,UNK
C00001354,,UNK
C00001396,,D
C00001420,,UNK
C00001446,,UNK
C00001453,,R
C00001461,,NAT
C00001552,,NNE
C00001594,,UNK
C00001602,,UNK
C00001610,,UNK
C00001636,SMART TD PAC,D
C00001644,,D
C00001669,,UNK
C00001677,,R
C00001685,,UNK
C00001727,,UNK
C00001735,,R
C00001776,,UNK
C00001784,,NNE
C00001818,,UNK
C00001826,,D
C00001917,,D
C00002022,,UNK
C00002089,COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE,D
C00002097,,D
C00002113,,D
C00002154,,R
C00002162,,UNK
C00002196,,UNK
C00002204,,R
C00002220,,R
C00002238,NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC,N
C00002253,,UNK
C00002261,FEDERATION OF AMERICAN HOSPITALS PAC,N
C00002303,,UNK
C00002386,,D
C00002469,MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,D
C00002501,,UNK
C00002527,,D
C00002568,,R
C00002576,,D
C00002592,,D
C00002600,,D
C00002618,,UNK
C00002709,,D
C00002741,,R
C00002766,,UNK
C00002790,OLIN CORPORATION GOOD GOVERNMENT FUND,R
C00002816,,R
C00002840,UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM),D
C00002857,,R
C00002881,TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.,N
C00002907,,UNK
C00002931,,R
C00002949,,UNK
C00002972,THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE),N
C00003061,,UNK
C00003079,,R
C00003111,,R
C00003145,,R
C00003160,,UNK
C00003194,,UNK
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,D
C00003293,,UNK
C00003319,,UNK
C00003376,,R
C00003418,REPUBLICAN NATIONAL COMMITTEE,R
C00003467,,R
C00003558,NATIONAL COMMITTEE FOR AN EFFECTIVE CONGRESS,D
C00003590,UNITED STEELWORKERS POLITICAL ACTION FUND,D
C00003624,,R
C00003632,,UNK
C00003681,,R
C00003756,,UNK
C00003764,NATIONAL RESTAURANT ASSOCIATION PAC (RESTAURANT PAC),R
C00003772,,UNK
C00003780,,D
C00003806,,UNK
C00003814,,D
C00003822,,R
C00003863,,UNK
C00003897,,D
C00003913,,UNK
C00003921,,UNK
C00003988,NEBRASKA DEMOCRATIC PARTY,D
C00003996,,R
C00004010,,UNK
C00004093,,UNK
C00004101,,UNK
C00004176,,UNK
C00004192,,UNK
C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),R
C00004325,SEAFARERS POLITICAL ACTIVITY DONATION - SEAFARERS INTERNATIONAL UNION OF NA-AGLIW,D
C00004473,NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC,R
C00004499,,UNK
C00004523,,D
C00004572,,D
C00004580,,UNK
C00004606,,R
C00004754,,R
C00004804,,UNK
C00004812,MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC),N
C00004820,,R
C00004846,,UNK
C00004879,,UNK
C00004911,,UNK
C00004929,,UNK
C00004952,,UNK
C00004960,,UNK
C00004978,,UNK
C00004994,PROFESSIONAL INSURANCE AGENTS POLITICAL ACTION COMMITTEE (PIAPAC),R
C00005033,,R
C00005041,,R
C00005066,,UNK
C00005132,,UNK
C00005140,,D
C00005157,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND,D
C00005173,,D
C00005215,,D
C00005223,,D
C00005249,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM,N
C00005306,,UNK
C00005462,,R
C00005488,,UNK
C00005561,DEMOCRATIC EXECUTIVE COMMITTEE OF FLORIDA,D
C00005629,,R
C00005645,,UNK
C00005660,,UNK
C00005736,,UNK
C00005751,,UNK
C00005785,"WYOMING REPUBLICAN PARTY, INC.",R
C00005801,,R
C00005819,,R
C00005884,,R
C00005892,,UNK
C00005926,ILLINOIS REPUBLICAN PARTY - FEDERAL,R
C00005934,,R
C00005975,,R
C00006049,,R
C00006122,,R
C00006148,,D
C00006262,,R
C00006296,,UNK
C00006320,,R
C00006338,,NNE
C00006486,,R
C00006569,,R
C00006601,,UNK
C00006759,,NNE
C00006783,,R
C00006882,,R
C00007070,TEXAS INSTRUMENTS INCORPORATED POLITICAL ACTION COMMITTEE (TI PAC),N
C00007294,,UNK
C00007419,,UNK
C00007427,,UNK
C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE,R
C00007484,,UNK
C00007492,,R
C00007617,,D
C00007658,DEMOCRATIC PARTY OF SOUTH CAROLINA,D
C00007682,,R
C00007781,,R
C00007880,CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION,N
C00007898,,UNK
C00007922,,UNK
C00007948,WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE,R
C00008086,MONTANA REPUBLICAN STATE CENTRAL COMMITTEE,R
C00008110,,D
C00008193,,UNK
C00008201,,D
C00008227,ARIZONA REPUBLICAN PARTY,R
C00008326,,D
C00008359,,R
C00008409,,UNK
C00008474,CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL (CITIGROUP PAC-FEDERAL),N
C00008565,,D
C00008656,,R
C00008664,,R
C00008722,,UNK
C00008748,SEMPRA ENERGY EMPLOYEES POLITICAL ACTION COMMITTEE- FEDERAL,N
C00008755,,R
C00008797,,D
C00008839,AMERICAN PODIATRIC MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,D
C00008847,,R
C00008904,,R
C00008979,,D
C00008987,,D
C00009035,,UNK
C00009050,,UNK
C00009092,,R
C00009126,,D
C00009167,,D
C00009209,,R
C00009274,,R
C00009282,NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND,N
C00009290,,UNK
C00009316,,UNK
C00009324,,R
C00009340,,R
C00009381,,UNK
C00009423,"LAND O'LAKES, INC., PAC",N
C00009456,,D
C00009464,,D
C00009571,,R
C00009639,TRUIST FINANCIAL CORPORATION FEDERAL STATE & LOCAL POLITICAL ACTION COMMITTEE (FORMERLY SUNTRUST BANKS INC. MAIN STREET BANKERS PAC),R
C00009647,,D
C00009704,,V
C00009761,,NNE
C00009795,,NAT
C00009845,,D
C00009852,,R
C00009878,,R
C00009886,,R
C00009902,,UNK
C00009910,,UNK
C00009928,,UNK
C00009936,AMERICAN FEDERATION OF GOVT. EMPL. POLITICAL ACTION COMMITTEE,D
C00009944,,D
C00009985,NATIONAL ASSOCIATION OF BROADCASTERS POLITICAL ACTION COMMITTEE (NABPAC),N
C00010033,MONTANA DEMOCRATIC PARTY,D
C00010082,NCTA - THE INTERNET AND TELEVISION ASSOCIATION POLITICAL ACTION COMMITTEE (NCTA PAC),N
C00010108,,D
C00010124,ASSOCIATED EQUIPMENT DISTRIBUTORS POLITICAL ACTION COMMITTEE,R
C00010140,,R
C00010199,,D
C00010363,CONSERVATIVE LEADERSHIP POLITICAL ACTION COMMITTEE,N
C00010421,"ASSOCIATED BUILDERS AND CONTRACTORS, INC. POLITICAL ACTION COMMITTEE (ABC PAC)",R
C00010439,,D
C00010470,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT,R
C00010512,,R
C00010520,,NNE
C00010546,,R
C00010595,,D
C00010603,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,D
C00010710,,NNE
C00010793,THE LOOSE GROUP,R
C00010868,AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC),N
C00010983,JOHNSON & JOHNSON POLITICAL ACTION COMMITTEE,D
C00011114,,UNK
C00011197,KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,D
C00011262,BROTHERHOOD OF RAILROAD SIGNALMEN POLITICAL ACTION COMMITTEE,D
C00011270,,R
C00011346,,UNK
C00011361,,UNK
C00011387,,UNK
C00011536,,UNK
C00011643,,R
C00011718,,UNK
C00011767,,UNK
C00011783,,UNK
C00011825,,R
C00011874,,NNE
C00011908,,R
C00011916,,UNK
C00011957,,UNK
C00012021,,UNK
C00012062,,D
C00012104,,UNK
C00012161,,UNK
C00012203,,D
C00012229,,R
C00012237,,UNK
C00012302,,D
C00012310,,UNK
C00012328,FLORIDA SUGAR CANE LEAGUE PAC,N
C00012401,,UNK
C00012427,,D
C00012468,THE COCA-COLA COMPANY NONPARTISAN COMMITTEE FOR GOOD GOVERNMENT,D
C00012484,FLORIDA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,R
C00012518,,UNK
C00012625,,UNK
C00012666,,UNK
C00012708,,UNK
C00012732,,R
C00012757,,UNK
C00012815,,UNK
C00012831,,UNK
C00012872,,D
C00012880,AMERICAN PHYSICAL THERAPY ASSOCIATION PHYSICAL THERAPY POLITICAL ACTION COMMITTEE (PT-PAC),N
C00012906,,UNK
C00012914,AMERICAN LAND TITLE ASSOCIATION TITLE INDUSTRY PAC (TIPAC),N
C00013011,,D
C00013029,,R
C00013037,,R
C00013128,,D
C00013417,,R
C00013425,,D
C00013524,,D
C00013540,,UNK
C00013573,,R
C00013656,,UNK
C00013672,,UNK
C00013714,,D
C00013748,,D
C00013888,,R
C00013896,,D
C00013961,"SHEET METAL & AIR CONDITIONING CONTRACTORS' NATIONAL ASSOC., INC. POLITICAL ACTION COMMITTEE",N
C00013995,,UNK
C00014019,COMMITTEE ORGANIZED FOR THE TRADING OF COTTON PAC OF THE AMERICAN COTTON SHIPPERS ASSOCIAT,R
C00014076,,D
C00014084,,D
C00014092,,R
C00014217,,D
C00014225,,UNK
C00014407,,R
C00014415,,D
C00014472,,UNK
C00014480,,R
C00014498,REPUBLICAN PARTY OF IOWA,R
C00014555,,UNK
C00014597,,UNK
C00014613,,D
C00014811,,D
C00014878,GENERAL AVIATION MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE,R
C00014944,,R
C00014993,,D
C00015024,,UNK
C00015065,,R
C00015107,,R
C00015156,,UNK
C00015263,,R
C00015339,,D
C00015362,,R
C00015388,,UNK
C00015511,,R
C00015529,,D
C00015552,BEEF-PAC (BEEF POLITICAL ACTION COMMITTEE OF TEXAS CATTLE FEEDERS ASSOCIATION),R
C00015594,,R
C00015636,,D
C00015669,,R
C00015743,,UNK
C00015925,,UNK
C00015974,,R
C00016014,,D
C00016238,,UNK
C00016253,,UNK
C00016261,,R
C00016345,,UNK
C00016386,AMERICAN BAKERS ASSOCIATION AMERICAN BAKERS POLITICAL ACTION COMMITTEE,R
C00016410,,D
C00016444,KENTUCKY MEDICAL ASSOCIATION PAC (KENTUCKY PHYSICIANS PAC FEDERAL-KPPAC FEDERAL),R
C00016683,PFIZER INC. PAC,N
C00016782,,UNK
C00016899,OHIO DEMOCRATIC PARTY,D
C00016931,,R
C00016980,,R
C00017020,,R
C00017210,,D
C00017244,,NNE
C00017251,,D
C00017269,,UNK
C00017368,,D
C00017392,,R
C00017509,,D
C00017525,AMERICAN NURSES ASSOCIATION PAC,D
C00017558,BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC,D
C00017681,,UNK
C00017830,,D
C00018028,PRINTING UNITED ALLIANCE,R
C00018036,U.S. BANCORP POLITICAL PARTICIPATION PROGRAM,R
C00018135,,D
C00018176,,UNK
C00018184,,NNE
C00018192,,UNK
C00018473,,D
C00018499,,D
C00018580,,R
C00018820,,UNK
C00018929,,R
C00019075,,D
C00019109,,R
C00019166,,D
C00019208,,D
C00019216,,D
C00019331,DEMOCRATIC PARTY OF WISCONSIN,D
C00019380,KANSAS DEMOCRATIC PARTY,D
C00019448,,UNK
C00019588,,D
C00019653,EDISON INTERNATIONAL PAC,D
C00019711,,D
C00019752,,D
C00020008,,UNK
C00020024,,D
C00020040,,R
C00020156,,D
C00020180,,D
C00020206,,UNK
C00020438,,NNE
C00020446,,UNK
C00020453,,R
C00020602,,R
C00020818,,R
C00020859,,R
C00020867,,UNK
C00020941,,UNK
C00020974,,D
C00021071,,R
C00021089,,UNK
C00021121,,NNE
C00021261,,R
C00021428,,R
C00021436,,R
C00021527,,D
C00021550,,R
C00021634,,D
C00021691,,R
C00021782,,UNK
C00021824,,D
C00021832,,LAB
C00021899,,R
C00021907,,UNK
C00021931,,UNK
C00021956,,R
C00022061,,D
C00022087,,D
C00022194,,NNE
C00022335,,D
C00022343,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",R
C00022368,"NATIONAL ASSOCIATION OF CHAIN DRUG STORES, INC. POLITICAL ACTION COMMITTEE",N
C00022384,,R
C00022400,,UNK
C00022418,,R
C00022517,,D
C00022640,,UNK
C00022699,,UNK
C00022756,,UNK
C00022798,,UNK
C00022848,,UNK
C00022855,,R
C00022954,,R
C00022988,,UNK
C00022996,,UNK
C00023028,NATIONAL COTTON COUNCIL OF AMERICA COMMITTEE FOR THE ADVANCEMENT OF COTTON,R
C00023085,,UNK
C00023093,,R
C00023143,,UNK
C00023192,,NNE
C00023200,,D
C00023580,NATIONAL ASSOCIATION OF LETTER CARRIERS OF U.S.A. POLITICAL FUND (LETTER CARRIER POLITICAL FUND),D
C00023630,,R
C00023754,,UNK
C00023838,CONNECTICUT REPUBLICAN PARTY,R
C00023861,,D
C00023903,,UNK
C00024075,,R
C00024182,,D
C00024281,NORTH AMERICAN MEAT INSTITUTE POLITICAL ACTION COMMITTEE,R
C00024349,,NNE
C00024364,,R
C00024372,,D
C00024422,,NAT
C00024455,,D
C00024497,,D
C00024521,AMERICAN ASSOCIATION FOR JUSTICE POLITICAL ACTION COMMITTEE (AAJ PAC),D
C00024554,,UNK
C00024620,,D
C00024679,,D
C00024687,,UNK
C00024752,,UNK
C00024869,GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE (GEPAC),N
C00024885,,R
C00024935,NORTHERN TRUST CORPORATION POLITICAL ACTION COMMITTEE (NORTHERN TRUST PAC),D
C00024968,,UNK
C00025098,,UNK
C00025114,,NNE
C00025163,,UNK
C00025254,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,D
C00025296,,UNK
C00025346,,UNK
C00025379,,D
C00025395,,UNK
C00025536,,UNK
C00025635,,D
C00025684,,D
C00025809,,R
C00025932,,D
C00025940,,UNK
C00025973,,D
C00026096,,UNK
C00026328,,D
C00026575,,D
C00026625,,R
C00026633,,D
C00026724,,D
C00026740,,R
C00026757,,D
C00026823,,R
C00026864,,D
C00026914,,R
C00026930,,D
C00027003,,D
C00027094,,D
C00027144,,UNK
C00027193,,R
C00027300,,R
C00027318,,UNK
C00027466,NRSC,R
C00027532,AMERICAN MARITIME OFFICERS VOLUNTARY POLITICAL ACTION FUND,N
C00027623,,UNK
C00027896,,D
C00028019,,R
C00028027,,UNK
C00028316,,R
C00028456,,R
C00028464,,D
C00028670,,UNK
C00028779,,R
C00028787,NATIONAL CATTLEMEN'S BEEF ASSOCIATION POLITICAL ACTION COMMITTEE (NCBA-PAC),R
C00028795,,D
C00028878,,AMP
C00029348,AMERICAN FOREST & PAPER ASSOCIATION POLITICAL ACTION COMMITTEE,R
C00029371,,D
C00029447,INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,D
C00029504,,UNK
C00029546,,D
C00029629,,R
C00029769,,R
C00029777,,D
C00029835,,R
C00030015,,D
C00030072,,D
C00030106,,D
C00030148,,D
C00030528,,UNK
C00030627,,D
C00030676,UNITED STATES STEEL CORPORATION POLITICAL ACTION COMMITTEE,N
C00030718,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,N
C00030783,,UNK
C00030791,,UNK
C00030809,NATIONAL COMMUNITY PHARMACISTS ASSOCIATION - PAC  ,R
C00030999,,NNE
C00031039,,R
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,D
C00031062,,R
C00031088,WASHINGTON STATE REPUBLICAN PARTY,R
C00031112,,D
C00031138,,D
C00031153,,R
C00031179,,R
C00031187,,R
C00031203,,R
C00031252,,D
C00031351,,R
C00031435,,D
C00031567,,D
C00031591,,D
C00031617,,D
C00031674,,D
C00031682,,D
C00031781,,LAB
C00031856,,I
C00031880,,I
C00032136,,R
C00032177,,R
C00032334,,R
C00032441,,UNK
C00032540,,UNK
C00032557,,UNK
C00032565,,UNK
C00032573,,UNK
C00032599,,UNK
C00032607,,NNE
C00032623,,UNK
C00032656,,UNK
C00032698,INDEPENDENT COMMUNITY BANKERS OF AMERICA POLITICAL ACTION COMMITTEE,N
C00032771,,UNK
C00032797,,UNK
C00032813,,UNK
C00032821,,UNK
C00032870,,I
C00032888,,D
C00032979,"D.R.I.V.E. - DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDUCATION (THE PAC OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS)",D
C00033027,,UNK
C00033092,,NNE
C00033134,,R
C00033167,,UNK
C00033209,,NNE
C00033233,,D
C00033407,,D
C00033415,,NNE
C00033423,,UNK
C00033431,,D
C00033456,,UNK
C00033522,,D
C00033571,,R
C00033589,CORNING INCORPORATED EMPLOYEES POLITICAL ACTION COMMITTEE (COREPAC),N
C00033647,,R
C00033712,,R
C00033720,,UNK
C00033761,,R
C00033779,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),N
C00033795,,NAT
C00033803,,UNK
C00033894,,D
C00033944,,UNK
C00033969,,NNE
C00033977,R.R. DONNELLEY & SONS COMPANY GOOD GOVERNMENT FUND,R
C00033993,,UNK
C00034033,,R
C00034066,,UNK
C00034124,,NNE
C00034132,FLUOR CORPORATION POLITICAL ACTION COMMITTEE (FLUOR PAC),N
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),N
C00034173,,NNE
C00034181,,UNK
C00034207,,NNE
C00034249,,UNK
C00034256,,UNK
C00034272,NATIONAL CHICKEN COUNCIL POLITICAL ACTION COMMITTEE (FKA) NATIONAL BROILER COUNCIL PAC,R
C00034298,PPG INDUSTRIES INC. PAC,N
C00034306,,UNK
C00034314,,D
C00034330,,NAT
C00034348,,UNK
C00034355,PEOPLE PAC (PACCAR INC EMPLOYEES ORGANIZED FOR POLITICAL LEADERSHIP AND EDUCATION PAC),R
C00034405,,UNK
C00034488,,UNK
C00034512,,UNK
C00034538,,UNK
C00034546,,NNE
C00034595,WELLS FARGO AND COMPANY EMPLOYEE PAC (AKA WELLS FARGO EMPLOYEE PAC),N
C00034603,,UNK
C00034629,,UNK
C00034652,,UNK
C00034678,AMERICAN WATERWAYS OPERATORS-PAC,N
C00034702,,D
C00034710,,UNK
C00034728,,UNK
C00034744,,UNK
C00034785,ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE,R
C00034793,,D
C00034819,,COM
C00034843,,H
C00034918,,UNK
C00034942,,UNK
C00035006,CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE - CHEVRON CORPORATION,R
C00035022,,UNK
C00035048,,NNE
C00035055,,UNK
C00035071,,R
C00035139,,UNK
C00035147,,D
C00035154,,NNE
C00035196,,UNK
C00035204,ENERGY MARKETERS OF AMERICA SMALL BUSINESS COMMITTEE PAC (EMA SBC PAC),R
C00035220,,UNK
C00035246,,R
C00035253,OREGON BANKERS POLITICAL ACTION COMMITTEE,N
C00035279,,NNE
C00035287,,UNK
C00035394,,D
C00035436,,UNK
C00035451,AIR LINE PILOTS ASSOCIATION PAC,D
C00035485,,UNK
C00035493,,UNK
C00035519,"BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC PAC)",R
C00035527,,NNE
C00035535,"CONSUMER BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE, THE",R
C00035592,,UNK
C00035600,IOWA DEMOCRATIC PARTY,D
C00035618,,R
C00035634,,R
C00035642,,D
C00035659,,D
C00035667,,UNK
C00035675,BRISTOL-MYERS SQUIBB COMPANY POLITICAL ACTION COMMITTEE (BMS PAC),N
C00035683,,NNE
C00035709,,UNK
C00035725,,D
C00035733,,UNK
C00035774,,UNK
C00036004,,D
C00036061,,D
C00036236,,UNK
C00036269,,R
C00036343,,D
C00036376,,D
C00036517,,R
C00036525,,R
C00036665,,D
C00036699,,UNK
C00036723,,R
C00036731,,D
C00036806,,UNK
C00036830,,R
C00036855,,D
C00036905,,D
C00037036,,UNK
C00037085,,R
C00037093,,D
C00037192,,R
C00037200,,D
C00037598,,R
C00037606,,D
C00037630,,R
C00037754,,D
C00037788,,R
C00037861,,R
C00037895,,R
C00037903,,R
C00038042,,R
C00038125,,D
C00038133,,R
C00038158,,D
C00038224,,D
C00038240,,D
C00038265,,R
C00038380,,D
C00038430,,UNK
C00038448,,UNK
C00038463,,R
C00038471,,UNK
C00038489,,R
C00038505,NORTH CAROLINA REPUBLICAN PARTY,R
C00038604,AMERICAN FINANCIAL SERVICES ASSOCIATION PAC,R
C00038612,,UNK
C00038638,,R
C00038661,,NNE
C00038679,,UNK
C00038695,,NNE
C00038703,,UNK
C00038711,,D
C00038729,,D
C00038794,,UNK
C00038802,,UNK
C00038810,,UNK
C00038844,,UNK
C00038877,,UNK
C00038927,,NAT
C00038950,,UNK
C00038976,,D
C00039016,,UNK
C00039040,WHIRLPOOL CORPORATION POLITICAL ACTION COMMITTEE,R
C00039214,,NNE
C00039248,,NNE
C00039305,CITIGROUP INC. PAC - STATE (CITI PAC-STATE),N
C00039321,"PEPSICO, INC. CONCERNED CITIZENS FUND",N
C00039339,,UNK
C00039388,,AMP
C00039404,,UNK
C00039438,,UNK
C00039461,BALL CORPORATION POLITICAL ACTION COMMITTEE,R
C00039479,,UNK
C00039487,,D
C00039511,,UNK
C00039552,KELLOGG COMPANY BETTER GOVERNMENT COMMITTEE,N
C00039578,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,R
C00039594,,UNK
C00039610,,UNK
C00039651,,UNK
C00039669,,UNK
C00039735,,UNK
C00039743,,R
C00039800,,D
C00039925,,UNK
C00039941,,UNK
C00040071,,UNK
C00040154,,NNE
C00040170,,UNK
C00040188,,R
C00040204,,NNE
C00040220,,R
C00040238,,UNK
C00040253,ALLSTATE INSURANCE COMPANY PAC,N
C00040279,,UNK
C00040287,,UNK
C00040329,NATIONAL RETAIL FEDERATION RETAILPAC,R
C00040394,"THE WILLIAMS COMPANIES, INC. POLITICAL ACTION COMMITTEE",R
C00040469,,UNK
C00040535,AMERICAN EXPRESS COMPANY POLITICAL ACTION COMMITTEE (AXPPAC),N
C00040568,,UNK
C00040584,,NNE
C00040600,,D
C00040618,,UNK
C00040659,,UNK
C00040667,,NNE
C00040717,,NNE
C00040725,UNITED FRESH PRODUCE ASSOCIATION FRESH POLITICAL ACTION COMMITTEE (FRESH PAC),N
C00040741,,UNK
C00040832,,UNK
C00040840,,UNK
C00040857,,D
C00040873,,UNK
C00040881,,UNK
C00040907,,UNK
C00040923,,UNK
C00040949,,NNE
C00040980,,D
C00040998,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,R
C00041004,,UNK
C00041061,,UNK
C00041079,,D
C00041160,MICHIGAN REPUBLICAN PARTY,R
C00041186,,R
C00041236,,R
C00041269,GEORGIA FEDERAL ELECTIONS COMMITTEE,D
C00041293,,UNK
C00041376,,UNK
C00041384,,NNE
C00041475,,R
C00041590,,UNK
C00041608,,UNK
C00041665,,UNK
C00041673,,UNK
C00041822,,R
C00041863,,UNK
C00041889,,UNK
C00041905,,D
C00041939,,UNK
C00042002,,UNK
C00042010,,UNK
C00042069,,NNE
C00042085,,D
C00042168,,UNK
C00042176,,UNK
C00042267,,R
C00042275,,H
C00042291,,R
C00042317,,R
C00042366,DSCC,D
C00042382,,D
C00042424,,UNK
C00042515,,D
C00042556,,R
C00042606,,D
C00042622,MASSACHUSETTS REPUBLICAN PARTY,R
C00042630,,R
C00042648,,UNK
C00042655,,UNK
C00042697,,R
C00042853,,D
C00042960,,NNE
C00042986,,R
C00042994,,UNK
C00043026,,UNK
C00043059,,UNK
C00043174,,UNK
C00043190,,R
C00043216,,UNK
C00043224,,D
C00043372,,R
C00043414,,R
C00043430,,UNK
C00043463,MANUFACTURED HOUSING INSTITUTE PAC,N
C00043489,BANK OF AMERICA CORPORATION STATE AND FEDERAL PAC,N
C00043505,,NNE
C00043562,,UNK
C00043570,,NNE
C00043620,,D
C00043711,,UNK
C00043919,,R
C00043943,,UNK
C00043992,,UNK
C00044081,,R
C00044396,,D
C00044412,,D
C00044446,,R
C00044479,,D
C00044578,,D
C00044701,,ICD
C00044735,,D
C00044768,,R
C00044776,,R
C00044792,,D
C00044842,,R
C00044867,,UNK
C00044974,,R
C00044990,,R
C00045104,,AMP
C00045195,,R
C00045419,,D
C00045484,,R
C00045492,,R
C00045526,,R
C00045559,,R
C00045583,,D
C00045971,,R
C00046003,,D
C00046235,,D
C00046417,,UNK
C00046466,,R
C00046474,FORD MOTOR COMPANY CIVIC ACTION FUND,R
C00046516,,R
C00046599,,D
C00046896,,D
C00046961,,R
C00047027,,D
C00047035,,R
C00047118,,D
C00047183,,R
C00047191,,R
C00047274,,D
C00047365,,UNK
C00047407,,UNK
C00047464,,D
C00047480,,D
C00047498,,D
C00047647,,D
C00047662,,R
C00047670,,D
C00047704,,D
C00047803,,R
C00047837,,D
C00047860,,R
C00047936,,R
C00047951,,D
C00047977,,UNK
C00048033,,D
C00048041,,UNK
C00048090,,R
C00048108,,R
C00048165,,UNK
C00048181,WISCONSIN BANKERS ASSOCIATION (WISBANKPAC),R
C00048199,,R
C00048256,,D
C00048272,,D
C00048280,,D
C00048322,,D
C00048371,,D
C00048470,,D
C00048496,,R
C00048546,,R
C00048587,,D
C00048694,,D
C00048710,,UNK
C00048884,,D
C00048975,,R
C00049080,,UNK
C00049098,,R
C00049122,,D
C00049189,,R
C00049247,,R
C00049452,,R
C00049494,,UNK
C00049569,,D
C00049593,,R
C00049601,,UNK
C00049627,,D
C00049635,,D
C00049684,,D
C00049718,,D
C00049726,,D
C00049981,,D
C00050005,,D
C00050013,,D
C00050039,,UNK
C00050062,,D
C00050153,,UNK
C00050278,,R
